Bytes in file:	221
Name of file:	data-clear-2.bin
Clear|Fuzzy:	clear
Computer             @ Offset: 23
science              @ Offset: 14
education            @ Offset: d4
cannot               @ Offset: 53
make                 @ Offset: cd
anybody              @ Offset: 85
an                   @ Offset: 3e
expert               @ Offset: 4a
programmer           @ Offset: b6
any                  @ Offset: 38
more                 @ Offset: af
than                 @ Offset: 07
studying             @ Offset: 9a
brushes              @ Offset: c3
and                  @ Offset: 5c
pigment              @ Offset: a5
can                  @ Offset: 0e
make                 @ Offset: 73
somebody             @ Offset: 7a
an                   @ Offset: 62
expert               @ Offset: 67
painter.             @ Offset: 8f
                     @ Offset: 70
--                   @ Offset: 1e
Eric                 @ Offset: 43
Raymond              @ Offset: 2e
